,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNU6ATAC41P,0,NA,NA,NA,NA,NA
MIR1184-1,0,NA,NA,NA,NA,NA
MIR548H1,0,NA,NA,NA,NA,NA
SNORD99,0,NA,NA,NA,NA,NA
MIR1180,0,NA,NA,NA,NA,NA
MIR1255B2,0,NA,NA,NA,NA,NA
MIR1283-2,0,NA,NA,NA,NA,NA
MIR1303,0,NA,NA,NA,NA,NA
RNU6ATAC10P,0,NA,NA,NA,NA,NA
MIR1269A,0,NA,NA,NA,NA,NA
RNU6ATAC42P,0,NA,NA,NA,NA,NA
RNU6ATAC35P,0,NA,NA,NA,NA,NA
RNU6ATAC33P,0,NA,NA,NA,NA,NA
RNU6ATAC21P,0,NA,NA,NA,NA,NA
MIR1226,0,NA,NA,NA,NA,NA
MIR1185-1,0,NA,NA,NA,NA,NA
MIR1289-2,0,NA,NA,NA,NA,NA
MIR1285-1,0,NA,NA,NA,NA,NA
SNORD111B,0,NA,NA,NA,NA,NA
MIR1277,0,NA,NA,NA,NA,NA
MIR1271,0,NA,NA,NA,NA,NA
MIR548AJ2,0,NA,NA,NA,NA,NA
RNU6ATAC11P,0,NA,NA,NA,NA,NA
SNORA11D,0,NA,NA,NA,NA,NA
MIR1827,0,NA,NA,NA,NA,NA
MIR1251,0,NA,NA,NA,NA,NA
